OG,category
COG2738,General functional prediction only
COG2739,Function unknown
COG3565,General functional prediction only
COG2732,Transcription
COG1933,Replication and repair
COG2730,Carbohydrate metabolism and transport
COG2731,Carbohydrate metabolism and transport
COG5016,Energy production and conversion
COG0532,Translation
COG3365,Function unknown
COG1269,Energy production and conversion
COG1268,General functional prediction only
COG5017,Function unknown
COG1264,Carbohydrate metabolism and transport
COG1267,Lipid metabolism
COG1103,General functional prediction only
COG1261,Cell motility
COG0534,Defense mechanisms
COG1263,Carbohydrate metabolism and transport
COG1262,Function unknown
COG0648,Replication and repair
COG4087,General functional prediction only
COG4084,Function unknown
COG5015,Function unknown
COG4083,Function unknown
COG4080,Replication and repair
COG4081,Function unknown
COG1067,"Post-translational modification, protein turnover, chaperone functions"
COG5012,General functional prediction only
COG0642,Signal transduction
COG0643,Cell motility
COG1063,Amino acid metabolism and transport
COG0645,General functional prediction only
COG4088,Nucleotide metabolism and transport
COG0647,Carbohydrate metabolism and transport
COG0533,"Post-translational modification, protein turnover, chaperone functions"
COG1559,General functional prediction only
COG1558,Cell motility
COG3511,Cell wall/membrane/envelope biogenesis
COG1462,Cell wall/membrane/envelope biogenesis
COG1461,General functional prediction only
COG3512,Function unknown
COG3515,Function unknown
COG1466,Replication and repair
COG1465,Amino acid metabolism and transport
COG1464,Inorganic ion transport and metabolism
COG3519,Function unknown
COG3518,Function unknown
COG1469,Function unknown
COG1468,Replication and repair
COG1007,Energy production and conversion
COG1554,Carbohydrate metabolism and transport
COG5505,Function unknown
COG1553,Inorganic ion transport and metabolism
COG5034,Chromatin structure and dynamics
COG1552,Translation
COG5562,General functional prediction only
COG5563,Function unknown
COG5560,"Post-translational modification, protein turnover, chaperone functions"
COG5561,Function unknown
COG5566,Function unknown
COG1003,Amino acid metabolism and transport
COG5564,General functional prediction only
COG5565,General functional prediction only
COG1603,Translation
COG1602,Function unknown
COG2898,Function unknown
COG1600,Energy production and conversion
COG1607,Lipid metabolism
COG1606,General functional prediction only
COG1605,Amino acid metabolism and transport
COG1604,Replication and repair
COG4172,General functional prediction only
COG0028,Amino acid metabolism and transport
COG5366,General functional prediction only
COG4171,Defense mechanisms
COG4176,Amino acid metabolism and transport
COG4177,Amino acid metabolism and transport
COG4174,General functional prediction only
COG4175,Amino acid metabolism and transport
COG4178,General functional prediction only
COG5368,Function unknown
COG5369,Function unknown
COG2866,Amino acid metabolism and transport
COG2867,Lipid metabolism
COG2864,Energy production and conversion
COG4377,Function unknown
COG2862,Function unknown
COG4371,Function unknown
COG2860,Function unknown
COG2861,Function unknown
