OG,category
NOG210585,Replication and repair
NOG210584,Function unknown
NOG244010,Function unknown
NOG226524,Function unknown
NOG237263,Function unknown
NOG244013,Function unknown
NOG237265,Function unknown
NOG244015,Transcription
NOG244016,Function unknown
NOG226525,Function unknown
NOG241026,Function unknown
NOG259139,Function unknown
NOG115749,Function unknown
NOG241025,Function unknown
NOG241022,Function unknown
NOG234409,Function unknown
NOG241020,Function unknown
NOG246057,Function unknown
NOG257883,Function unknown
NOG115742,Function unknown
NOG257881,Function unknown
NOG262219,Function unknown
NOG257887,Signal transduction
NOG257886,Function unknown
NOG234402,Function unknown
NOG115744,Function unknown
NOG122640,Energy production and conversion
NOG223736,Function unknown
NOG122642,Function unknown
NOG246055,Function unknown
NOG122644,Function unknown
NOG205368,General functional prediction only
NOG122647,Function unknown
NOG205365,Cell wall/membrane/envelope biogenesis
NOG205364,Function unknown
NOG205367,Function unknown
NOG238410,Cell cycle control and mitosis
NOG70351,Function unknown
NOG205363,Function unknown
NOG246053,Transcription
NOG201749,Function unknown
NOG223813,Function unknown
NOG204073,Transcription
NOG226864,Function unknown
NOG82739,Function unknown
NOG70357,Function unknown
NOG203841,Function unknown
NOG226867,Function unknown
NOG70356,Function unknown
NOG223810,Function unknown
NOG20075,Function unknown
NOG40787,"Post-translational modification, protein turnover, chaperone functions"
NOG209139,Function unknown
NOG228844,Function unknown
NOG126166,Function unknown
NOG83078,Function unknown
NOG83079,Function unknown
NOG78909,Function unknown
NOG83074,Function unknown
NOG211185,"Post-translational modification, protein turnover, chaperone functions"
NOG211186,Function unknown
NOG223814,Function unknown
NOG211180,Function unknown
NOG211181,Function unknown
NOG202270,Function unknown
NOG211183,Function unknown
NOG232727,Function unknown
NOG232726,Function unknown
NOG232725,Replication and repair
NOG70358,Function unknown
NOG222871,Function unknown
NOG08588,Function unknown
NOG232721,Function unknown
NOG232720,Function unknown
NOG254693,Function unknown
NOG08586,Function unknown
NOG08581,Function unknown
NOG08583,Function unknown
NOG08582,Function unknown
NOG27520,Function unknown
NOG225844,Function unknown
NOG75531,Function unknown
NOG75532,Function unknown
NOG223739,Function unknown
NOG75539,Function unknown
NOG235072,Intracellular trafficing and secretion
NOG42238,Function unknown
NOG72268,Function unknown
NOG240779,Function unknown
NOG240778,Function unknown
NOG219578,Function unknown
NOG240771,General functional prediction only
NOG240770,Function unknown
NOG205583,Function unknown
NOG240772,Function unknown
NOG240775,Transcription
NOG205584,Function unknown
NOG205587,General functional prediction only
NOG240776,Function unknown
NOG14715,Function unknown
NOG207961,Function unknown
NOG14716,Function unknown
NOG14711,Function unknown
NOG14710,Function unknown
NOG14713,Function unknown
NOG151022,Cell wall/membrane/envelope biogenesis
NOG151026,Function unknown
NOG151024,Function unknown
NOG127130,Function unknown
NOG119071,Function unknown
NOG72261,Function unknown
NOG249569,Function unknown
NOG72965,Function unknown
NOG41209,Coenzyme metabolism
NOG04922,Function unknown
NOG119077,Function unknown
NOG220277,Transcription
NOG203406,Function unknown
NOG203407,General functional prediction only
NOG203405,Function unknown
NOG203402,Function unknown
NOG203403,Function unknown
NOG41203,Function unknown
NOG203401,Transcription
NOG202751,Function unknown
NOG202750,Function unknown
NOG248218,Function unknown
NOG220275,Function unknown
NOG202755,Function unknown
NOG202754,Function unknown
NOG207989,Function unknown
NOG202756,Function unknown
NOG202759,Function unknown
NOG202758,General functional prediction only
NOG248210,Function unknown
NOG207984,Function unknown
NOG207983,Function unknown
NOG248217,Function unknown
NOG248214,General functional prediction only
NOG207980,General functional prediction only
NOG247091,Signal transduction
NOG247090,Function unknown
NOG09436,Function unknown
NOG257651,Function unknown
NOG247095,Function unknown
NOG220270,Function unknown
NOG247097,Function unknown
NOG247096,Transcription
NOG247099,Function unknown
NOG250600,Function unknown
NOG220271,General functional prediction only
NOG137040,Function unknown
NOG125836,Function unknown
NOG257654,General functional prediction only
NOG211040,Function unknown
NOG243695,Function unknown
NOG47668,Function unknown
NOG250603,Function unknown
NOG132030,"Post-translational modification, protein turnover, chaperone functions"
NOG204182,Function unknown
NOG204183,Transcription
NOG204180,Function unknown
NOG204181,Function unknown
NOG204186,Function unknown
NOG204187,Function unknown
NOG262202,Function unknown
NOG121693,Carbohydrate metabolism and transport
NOG204189,Function unknown
NOG121696,Function unknown
NOG121695,Function unknown
NOG222814,Function unknown
NOG222815,Function unknown
NOG222816,Lipid metabolism
NOG222817,Function unknown
NOG222810,Function unknown
NOG118033,Function unknown
NOG222812,Function unknown
NOG118031,Function unknown
NOG150645,Function unknown
NOG150644,Function unknown
NOG18330,Function unknown
NOG132035,Function unknown
NOG150641,Function unknown
NOG222819,Transcription
NOG150643,Function unknown
NOG118039,Function unknown
NOG229792,Function unknown
NOG229793,General functional prediction only
NOG229790,Chromatin structure and dynamics
NOG229791,General functional prediction only
NOG229796,Transcription
NOG205476,Function unknown
NOG229794,Function unknown
NOG137049,Function unknown
NOG229798,Replication and repair
NOG229799,Function unknown
NOG209130,Function unknown
NOG216325,Function unknown
NOG216324,Function unknown
NOG256709,General functional prediction only
NOG216326,Function unknown
NOG253559,Function unknown
NOG216320,General functional prediction only
NOG216323,Function unknown
NOG128645,Function unknown
NOG256703,Function unknown
NOG256702,Function unknown
NOG256701,Function unknown
NOG253556,General functional prediction only
NOG216329,Function unknown
NOG253550,Function unknown
NOG256705,Function unknown
NOG256704,Intracellular trafficing and secretion
NOG15044,Function unknown
NOG11740,Function unknown
NOG127824,Function unknown
NOG13441,Function unknown
NOG219975,Function unknown
NOG219974,Transcription
NOG255243,Function unknown
NOG255242,Function unknown
NOG255241,Function unknown
NOG255240,Function unknown
NOG255247,Function unknown
NOG255246,Function unknown
NOG255245,Inorganic ion transport and metabolism
NOG255244,Function unknown
NOG134386,Energy production and conversion
NOG68136,"Post-translational modification, protein turnover, chaperone functions"
NOG255249,Function unknown
NOG255248,Function unknown
NOG134382,Function unknown
NOG134383,Function unknown
NOG134381,General functional prediction only
NOG251953,Function unknown
NOG14063,Function unknown
NOG251951,Function unknown
NOG251950,General functional prediction only
NOG146545,Transcription
NOG251956,Function unknown
NOG146547,Function unknown
NOG146546,Function unknown
NOG251959,Function unknown
NOG251958,Function unknown
NOG246827,Function unknown
NOG246321,Function unknown
NOG246322,Transcription
NOG246323,Function unknown
NOG246324,Function unknown
NOG246325,Function unknown
NOG246326,Function unknown
NOG246327,Function unknown
NOG246328,Function unknown
NOG85187,Intracellular trafficing and secretion
NOG85185,Function unknown
NOG85183,Function unknown
NOG151273,Function unknown
NOG234188,Function unknown
NOG234181,Cell wall/membrane/envelope biogenesis
NOG234180,Function unknown
NOG234183,General functional prediction only
NOG234185,Inorganic ion transport and metabolism
NOG234184,Function unknown
NOG234187,Function unknown
NOG212512,General functional prediction only
NOG212510,General functional prediction only
NOG212511,Function unknown
NOG217740,Function unknown
NOG249210,Function unknown
NOG212514,Transcription
NOG217743,General functional prediction only
NOG212519,"Post-translational modification, protein turnover, chaperone functions"
NOG217748,Function unknown
NOG217749,Function unknown
NOG146097,Function unknown
NOG129475,General functional prediction only
NOG25604,Function unknown
NOG146093,Function unknown
NOG146092,Function unknown
NOG146091,General functional prediction only
NOG116504,Function unknown
NOG210941,Function unknown
NOG116507,Function unknown
NOG116500,Function unknown
NOG252044,Function unknown
NOG146099,Function unknown
NOG116503,"Post-translational modification, protein turnover, chaperone functions"
NOG130892,Energy production and conversion
NOG85456,Function unknown
NOG244848,Function unknown
NOG228441,Function unknown
NOG228440,Function unknown
NOG228443,Function unknown
NOG228442,General functional prediction only
NOG244843,Function unknown
NOG244841,Function unknown
NOG244840,Function unknown
NOG244847,General functional prediction only
NOG85459,Function unknown
NOG244845,General functional prediction only
NOG244844,Function unknown
NOG70278,Function unknown
NOG129994,Function unknown
NOG257078,Function unknown
NOG257079,Function unknown
NOG129992,Function unknown
NOG257072,Function unknown
NOG130896,Function unknown
NOG257070,Function unknown
NOG257071,Function unknown
NOG81568,General functional prediction only
NOG129998,Function unknown
NOG257074,"Post-translational modification, protein turnover, chaperone functions"
NOG257075,Function unknown
NOG68279,Function unknown
NOG68278,Function unknown
NOG46337,Function unknown
NOG79998,Function unknown
NOG262109,Function unknown
NOG262106,Function unknown
NOG262107,Function unknown
NOG262104,General functional prediction only
NOG262105,Function unknown
NOG68275,Function unknown
NOG68274,Transcription
NOG262100,General functional prediction only
NOG262101,Inorganic ion transport and metabolism
NOG259540,Transcription
NOG259541,Energy production and conversion
NOG252730,Function unknown
NOG259543,Function unknown
NOG259544,Function unknown
NOG252737,General functional prediction only
NOG252734,Function unknown
NOG259547,Function unknown
NOG223026,Function unknown
NOG259549,Transcription
NOG223024,Function unknown
NOG223025,General functional prediction only
NOG223020,Function unknown
NOG223021,General functional prediction only
NOG203806,Function unknown
NOG257388,General functional prediction only
NOG135260,Function unknown
NOG114622,Function unknown
NOG135264,Function unknown
NOG129842,Function unknown
NOG119610,Function unknown
NOG114629,Function unknown
NOG114628,Function unknown
NOG250392,Transcription
NOG250393,General functional prediction only
NOG250390,Function unknown
NOG250391,Intracellular trafficing and secretion
NOG16029,Function unknown
NOG16028,Function unknown
NOG250395,Function unknown
NOG83808,Function unknown
NOG220540,Function unknown
NOG250398,General functional prediction only
NOG214175,General functional prediction only
NOG16022,Function unknown
NOG251045,Function unknown
NOG251044,Function unknown
NOG251046,General functional prediction only
NOG251041,Function unknown
NOG72739,"Post-translational modification, protein turnover, chaperone functions"
NOG251043,Function unknown
NOG251042,Function unknown
NOG72738,Function unknown
NOG251049,Function unknown
NOG77227,Function unknown
NOG214217,General functional prediction only
NOG133761,Function unknown
NOG223796,General functional prediction only
NOG214214,Function unknown
NOG223790,Function unknown
NOG254678,General functional prediction only
NOG214211,Function unknown
NOG214210,Function unknown
NOG254675,Function unknown
NOG254674,Function unknown
NOG254677,Function unknown
NOG254676,Function unknown
NOG254671,Function unknown
NOG223799,"Post-translational modification, protein turnover, chaperone functions"
NOG214219,Function unknown
NOG214218,Function unknown
NOG210919,Function unknown
NOG257383,Transcription
NOG151275,General functional prediction only
NOG119859,Function unknown
NOG210910,Function unknown
NOG242845,Function unknown
NOG249449,Transcription
NOG119854,Function unknown
NOG210914,Function unknown
NOG210916,Function unknown
NOG210917,Function unknown
NOG133912,Function unknown
NOG116395,Function unknown
NOG228382,Function unknown
NOG207057,Function unknown
NOG248060,Function unknown
NOG132707,Function unknown
NOG70860,Function unknown
NOG114185,Function unknown
NOG72192,Function unknown
NOG261451,General functional prediction only
NOG261450,Function unknown
NOG261453,Function unknown
NOG261452,Amino acid metabolism and transport
NOG261455,Cell wall/membrane/envelope biogenesis
NOG261454,Function unknown
NOG261456,Function unknown
NOG261459,General functional prediction only
NOG261458,Function unknown
NOG209112,Function unknown
NOG209113,Transcription
NOG222773,Signal transduction
NOG222772,Function unknown
NOG222775,Function unknown
NOG209117,Transcription
NOG209114,General functional prediction only
NOG222776,Function unknown
NOG222779,Energy production and conversion
NOG222778,Function unknown
NOG209119,Function unknown
NOG211595,Function unknown
NOG203411,Cytoskeleton
NOG211594,Function unknown
NOG214179,Function unknown
NOG249218,Function unknown
NOG27539,Function unknown
NOG247608,Function unknown
NOG262231,Function unknown
NOG236422,Function unknown
NOG247609,Function unknown
NOG229894,"Post-translational modification, protein turnover, chaperone functions"
NOG229897,Function unknown
NOG229896,"Post-translational modification, protein turnover, chaperone functions"
NOG229893,Function unknown
NOG229892,Transcription
NOG221498,Carbohydrate metabolism and transport
NOG232654,Function unknown
NOG240652,Function unknown
NOG232271,Function unknown
NOG233004,Function unknown
NOG151279,Function unknown
NOG247606,Cytoskeleton
NOG249314,Function unknown
NOG71023,Function unknown
NOG134609,Amino acid metabolism and transport
NOG240651,Function unknown
NOG71026,Function unknown
NOG71024,Function unknown
NOG71025,Carbohydrate metabolism and transport
NOG134603,General functional prediction only
NOG71028,Function unknown
NOG134600,Function unknown
NOG134607,Function unknown
NOG240657,Nucleotide metabolism and transport
NOG229295,Function unknown
NOG262233,Function unknown
NOG237817,Function unknown
NOG240655,Function unknown
NOG138089,Function unknown
NOG249970,Function unknown
NOG227031,Function unknown
NOG131541,Function unknown
NOG131547,Function unknown
NOG131545,Function unknown
NOG131544,Function unknown
NOG127124,Function unknown
NOG131549,Function unknown
NOG131548,Function unknown
NOG112713,Function unknown
NOG68277,Function unknown
NOG47534,Function unknown
NOG213331,Function unknown
NOG214235,General functional prediction only
NOG217573,Function unknown
NOG254810,Function unknown
NOG39047,Function unknown
NOG47530,Function unknown
NOG70866,Function unknown
NOG47533,Function unknown
NOG249317,Cell wall/membrane/envelope biogenesis
NOG116086,Function unknown
NOG145038,Function unknown
NOG145039,General functional prediction only
NOG81169,Secondary structure
NOG145030,Energy production and conversion
NOG261745,Function unknown
NOG145032,General functional prediction only
NOG222115,Function unknown
NOG140006,Function unknown
NOG140005,Cell wall/membrane/envelope biogenesis
NOG68709,Function unknown
NOG140003,Function unknown
NOG140000,Function unknown
NOG201277,Function unknown
NOG224328,Function unknown
NOG260417,General functional prediction only
NOG250808,Function unknown
NOG262488,General functional prediction only
NOG260412,General functional prediction only
NOG260413,General functional prediction only
NOG260410,General functional prediction only
NOG203542,Function unknown
NOG262483,Function unknown
NOG224321,Function unknown
NOG250800,Carbohydrate metabolism and transport
NOG224323,Function unknown
NOG224324,Function unknown
NOG224325,Function unknown
NOG250804,General functional prediction only
NOG250805,Function unknown
NOG26152,Function unknown
NOG26150,Function unknown
NOG133379,Function unknown
NOG214236,General functional prediction only
NOG76556,Lipid metabolism
NOG139718,Function unknown
NOG139719,Carbohydrate metabolism and transport
NOG133373,Function unknown
NOG252095,Function unknown
NOG133371,Signal transduction
NOG252093,Function unknown
NOG252092,Function unknown
NOG252091,Function unknown
NOG252090,Function unknown
NOG138441,Function unknown
NOG70868,Amino acid metabolism and transport
NOG228858,General functional prediction only
NOG138442,Function unknown
NOG138445,Function unknown
NOG138444,Function unknown
NOG138447,Function unknown
NOG226879,Function unknown
NOG138449,Function unknown
NOG226877,Function unknown
NOG226874,Function unknown
NOG226875,Function unknown
NOG226872,Function unknown
NOG223801,Function unknown
NOG226870,Energy production and conversion
NOG228855,Transcription
NOG130632,Function unknown
NOG130633,Function unknown
NOG130630,Function unknown
NOG233006,Function unknown
NOG130636,Function unknown
NOG130634,Function unknown
NOG127129,Function unknown
NOG255397,Function unknown
NOG127127,Function unknown
NOG130638,Function unknown
NOG130639,Function unknown
NOG127122,General functional prediction only
NOG127123,Function unknown
NOG220620,Function unknown
NOG76089,General functional prediction only
NOG15270,Function unknown
NOG243049,Function unknown
NOG235351,Function unknown
NOG76083,Function unknown
NOG76082,Function unknown
NOG76085,Transcription
NOG76087,Function unknown
NOG222064,Function unknown
NOG219962,Transcription
NOG219963,Function unknown
NOG217572,Function unknown
NOG219964,Function unknown
NOG219965,Function unknown
NOG262570,Function unknown
NOG81414,Function unknown
NOG14054,Function unknown
NOG14055,Function unknown
NOG138197,Function unknown
NOG40071,Intracellular trafficing and secretion
NOG138195,Function unknown
NOG138194,Function unknown
NOG138193,Function unknown
NOG11268,Function unknown
NOG138190,Carbohydrate metabolism and transport
NOG11266,General functional prediction only
NOG233009,Transcription
NOG46325,Function unknown
NOG46324,General functional prediction only
NOG46322,Carbohydrate metabolism and transport
NOG256138,Function unknown
NOG121244,Function unknown
NOG72702,Coenzyme metabolism
NOG72703,General functional prediction only
NOG72700,Function unknown
NOG207467,Function unknown
NOG132779,Function unknown
NOG72707,Function unknown
NOG72704,General functional prediction only
NOG132775,Function unknown
NOG132774,Function unknown
NOG72708,Function unknown
NOG132776,Function unknown
NOG127698,Function unknown
NOG209621,Function unknown
NOG70818,Function unknown
NOG254911,Function unknown
NOG69487,Function unknown
NOG69486,Function unknown
NOG69481,General functional prediction only
NOG40077,Function unknown
NOG69483,Function unknown
NOG124790,General functional prediction only
NOG69489,Function unknown
NOG69488,Function unknown
NOG238409,Function unknown
NOG43667,Function unknown
NOG254183,Function unknown
NOG72869,Function unknown
NOG224383,Function unknown
NOG238400,Function unknown
NOG238401,Function unknown
NOG238402,Function unknown
NOG124793,Function unknown
NOG238404,Function unknown
NOG238405,Function unknown
NOG238406,Function unknown
NOG238407,Function unknown
NOG42136,Function unknown
NOG46494,Function unknown
NOG201266,Function unknown
NOG201267,General functional prediction only
NOG46491,Function unknown
NOG201261,Function unknown
NOG201262,Function unknown
NOG42131,Function unknown
NOG207468,Function unknown
NOG201268,Function unknown
NOG201269,Function unknown
NOG209629,Function unknown
NOG124761,Function unknown
NOG124760,Function unknown
NOG124763,Function unknown
NOG124762,General functional prediction only
NOG124766,Function unknown
NOG150457,Intracellular trafficing and secretion
NOG247317,Function unknown
NOG39750,Function unknown
NOG257100,Function unknown
NOG149836,Function unknown
NOG120475,Function unknown
NOG39755,Replication and repair
NOG120477,Function unknown
NOG233530,Function unknown
NOG39758,Function unknown
NOG26848,Function unknown
NOG149839,Function unknown
NOG25638,Cell wall/membrane/envelope biogenesis
NOG25639,Function unknown
NOG25623,Function unknown
NOG120485,Function unknown
NOG120628,Function unknown
NOG29394,Function unknown
NOG230038,Function unknown
NOG28448,Transcription
NOG248914,Function unknown
NOG213333,Function unknown
NOG28442,General functional prediction only
NOG28443,Function unknown
NOG219459,Function unknown
NOG227008,Function unknown
NOG45671,Function unknown
NOG45673,Function unknown
NOG45674,General functional prediction only
NOG45675,Function unknown
NOG68947,Function unknown
NOG45677,Function unknown
NOG227000,Function unknown
NOG227001,Function unknown
NOG227002,Function unknown
NOG227003,Function unknown
NOG227004,Function unknown
NOG227005,Function unknown
NOG227006,General functional prediction only
NOG251557,Function unknown
NOG73071,Function unknown
NOG230036,Intracellular trafficing and secretion
NOG73075,Function unknown
NOG259769,Function unknown
NOG120620,Function unknown
NOG251555,Function unknown
NOG219453,Cell wall/membrane/envelope biogenesis
NOG215939,Function unknown
NOG215938,Function unknown
NOG235105,Function unknown
NOG45153,Function unknown
NOG215931,Function unknown
NOG83889,Function unknown
NOG215933,General functional prediction only
NOG230032,Function unknown
NOG215935,Function unknown
NOG215934,Function unknown
NOG215937,Function unknown
NOG235103,Energy production and conversion
NOG253348,Function unknown
NOG254182,Function unknown
NOG235101,Function unknown
NOG15278,Function unknown
NOG79877,Function unknown
NOG217269,Transcription
NOG217268,Function unknown
NOG217267,General functional prediction only
NOG217266,Function unknown
NOG217265,Function unknown
NOG79876,Function unknown
NOG229587,Signal transduction
NOG217262,Function unknown
NOG217261,Function unknown
NOG217260,Function unknown
NOG41284,Function unknown
NOG148386,Function unknown
NOG120312,Inorganic ion transport and metabolism
NOG149830,Function unknown
NOG253340,Function unknown
NOG235108,Function unknown
NOG130467,Function unknown
NOG229586,Function unknown
NOG251558,Function unknown
NOG119482,Function unknown
NOG221137,Function unknown
NOG40146,Function unknown
NOG252421,Function unknown
NOG148019,Function unknown
NOG217307,Function unknown
NOG241558,Function unknown
NOG241559,Function unknown
NOG241556,Function unknown
NOG148014,Function unknown
NOG241554,Function unknown
NOG241555,Function unknown
NOG241552,Function unknown
NOG241553,Function unknown
NOG148013,Function unknown
NOG241551,Function unknown
NOG245248,Function unknown
NOG245249,General functional prediction only
NOG245246,Function unknown
NOG245247,Function unknown
NOG245244,Function unknown
NOG245245,Function unknown
NOG245242,Function unknown
NOG245243,Function unknown
NOG245240,Transcription
NOG217570,Function unknown
NOG145869,General functional prediction only
NOG145868,Transcription
NOG256197,Function unknown
NOG145862,Function unknown
NOG145861,Function unknown
NOG145860,Function unknown
NOG145866,Energy production and conversion
NOG145864,Function unknown
NOG79617,Function unknown
NOG225382,Function unknown
NOG130197,Function unknown
NOG114343,Function unknown
NOG40148,Function unknown
NOG79618,General functional prediction only
NOG27494,General functional prediction only
NOG147590,Function unknown
NOG147593,General functional prediction only
NOG227919,Function unknown
NOG247707,Function unknown
NOG224919,Function unknown
NOG147597,Function unknown
NOG149833,Function unknown
NOG127904,Function unknown
NOG127905,Function unknown
NOG227910,Function unknown
NOG27498,Function unknown
NOG127901,Function unknown
NOG227914,Function unknown
NOG127903,Function unknown
NOG74935,Function unknown
NOG210386,Function unknown
NOG83615,Function unknown
NOG233538,Function unknown
NOG84417,Function unknown
NOG74939,Transcription
NOG84416,Function unknown
NOG44237,Function unknown
NOG219141,Signal transduction
NOG219142,Function unknown
NOG70039,Function unknown
NOG219144,Function unknown
NOG219145,Function unknown
NOG219146,Transcription
NOG44230,Function unknown
NOG70032,Cell wall/membrane/envelope biogenesis
NOG75045,Function unknown
NOG256371,Function unknown
NOG70036,Function unknown
NOG75041,Function unknown
NOG70034,Function unknown
NOG70035,Function unknown
NOG218744,Function unknown
NOG118727,Function unknown
NOG121970,Function unknown
NOG84419,Function unknown
NOG05508,Function unknown
NOG05509,Function unknown
NOG262394,Function unknown
NOG247554,Function unknown
NOG73613,Function unknown
NOG05500,Function unknown
NOG81512,Replication and repair
NOG76029,Function unknown
NOG255930,Function unknown
NOG240201,Function unknown
NOG240200,Function unknown
NOG240203,Function unknown
NOG240205,Replication and repair
NOG255933,Function unknown
NOG249974,Function unknown
NOG240209,Function unknown
NOG240208,Function unknown
NOG256379,Function unknown
NOG230215,Function unknown
NOG116398,Function unknown
NOG230217,Function unknown
NOG230216,Function unknown
NOG239041,Function unknown
NOG230210,Function unknown
NOG245268,Function unknown
NOG230212,Function unknown
NOG126051,Function unknown
NOG126053,General functional prediction only
NOG224037,Function unknown
NOG230219,Energy production and conversion
NOG126054,Function unknown
NOG126057,Function unknown
NOG45680,Function unknown
NOG204344,Function unknown
NOG204345,Function unknown
NOG79082,Transcription
NOG204340,Function unknown
NOG243951,Function unknown
NOG243952,Function unknown
NOG150987,Function unknown
NOG71832,Function unknown
NOG243958,General functional prediction only
NOG243959,Function unknown
NOG40426,Function unknown
NOG40424,Function unknown
NOG227994,Function unknown
NOG40421,Function unknown
NOG227995,Intracellular trafficing and secretion
NOG40429,Function unknown
NOG227014,Function unknown
NOG79891,Function unknown
NOG247706,Function unknown
NOG117791,Function unknown
NOG78470,Function unknown
NOG221420,Function unknown
NOG221421,Function unknown
NOG87601,Function unknown
NOG87600,Function unknown
NOG87607,Function unknown
NOG82230,Transcription
NOG82232,Function unknown
NOG221429,Function unknown
NOG83612,Function unknown
NOG82238,Transcription
NOG227162,Function unknown
NOG239715,Function unknown
NOG225511,Function unknown
NOG71349,Replication and repair
NOG225513,Transcription
NOG225514,Function unknown
NOG225515,Function unknown
NOG225516,Function unknown
NOG225517,Function unknown
NOG225518,Function unknown
NOG225519,Function unknown
NOG229904,Function unknown
NOG71347,Function unknown
NOG71345,Function unknown
NOG27725,Function unknown
NOG139459,General functional prediction only
NOG26458,Function unknown
NOG209145,Function unknown
NOG222470,Function unknown
NOG26453,Function unknown
NOG26452,Function unknown
NOG139453,Intracellular trafficing and secretion
NOG139452,Signal transduction
NOG139455,Function unknown
NOG70794,Function unknown
NOG226470,Function unknown
NOG139456,Function unknown
NOG246511,Function unknown
NOG203058,Function unknown
NOG123101,Function unknown
NOG123102,Nucleotide metabolism and transport
NOG123103,Function unknown
NOG75487,Function unknown
NOG230789,Intracellular trafficing and secretion
NOG123107,Function unknown
NOG148904,Function unknown
NOG257107,Function unknown
NOG226643,Function unknown
NOG119457,Function unknown
NOG70619,General functional prediction only
NOG204661,Function unknown
NOG231825,Function unknown
NOG255487,Function unknown
NOG258861,Function unknown
NOG79703,General functional prediction only
NOG218799,Function unknown
NOG221606,Function unknown
NOG82431,Carbohydrate metabolism and transport
NOG218792,Transcription
NOG218790,Function unknown
NOG218791,General functional prediction only
NOG218796,Function unknown
NOG79701,Function unknown
NOG218794,General functional prediction only
NOG213028,Function unknown
NOG216066,Function unknown
NOG46292,Function unknown
NOG130396,Function unknown
NOG259498,Replication and repair
NOG67428,Function unknown
NOG138790,Function unknown
NOG130804,General functional prediction only
NOG259496,Function unknown
NOG213024,Function unknown
NOG231735,Function unknown
NOG04182,Function unknown
NOG148902,Function unknown
NOG256449,Defense mechanisms
NOG225598,Function unknown
NOG213026,Function unknown
NOG46868,Function unknown
NOG46869,Function unknown
NOG215448,Function unknown
NOG46864,Function unknown
NOG259492,Function unknown
NOG46866,Function unknown
NOG246558,Function unknown
NOG46861,Transcription
NOG46862,Amino acid metabolism and transport
NOG213020,Function unknown
NOG209469,Transcription
NOG81764,Function unknown
NOG81765,Function unknown
NOG81762,Function unknown
NOG259490,Function unknown
NOG81760,Function unknown
NOG67420,Function unknown
NOG213022,Function unknown
NOG256446,Function unknown
NOG81768,Function unknown
NOG80497,Signal transduction
NOG44884,Function unknown
NOG206258,Function unknown
NOG206259,Function unknown
NOG204320,Function unknown
NOG206254,Transcription
NOG256440,Function unknown
NOG43304,Function unknown
NOG43305,Function unknown
NOG43302,General functional prediction only
NOG206251,Function unknown
NOG206252,Transcription
NOG206253,General functional prediction only
NOG232107,Function unknown
NOG232106,Function unknown
NOG246201,Function unknown
NOG232104,Function unknown
NOG232103,General functional prediction only
NOG246551,Function unknown
NOG246205,Function unknown
NOG232100,Function unknown
NOG232277,Function unknown
NOG246209,Function unknown
NOG128708,Function unknown
NOG215443,Function unknown
NOG232108,Function unknown
NOG122009,Function unknown
NOG86268,Function unknown
NOG215442,Function unknown
NOG148829,Cell wall/membrane/envelope biogenesis
NOG70397,Function unknown
NOG225594,Function unknown
NOG148827,Function unknown
NOG148820,Replication and repair
NOG148821,Function unknown
NOG86264,Function unknown
NOG148823,Function unknown
NOG207035,Function unknown
NOG262552,General functional prediction only
NOG230395,Function unknown
NOG138391,Function unknown
NOG215446,General functional prediction only
NOG16220,Function unknown
NOG235656,Function unknown
NOG235657,Function unknown
NOG123818,Function unknown
NOG235655,Function unknown
NOG235652,Function unknown
NOG235653,Function unknown
NOG235650,Function unknown
NOG235651,Function unknown
NOG128844,Function unknown
NOG128845,Function unknown
NOG259032,General functional prediction only
NOG259033,Function unknown
NOG259034,Cell motility
NOG123817,Function unknown
NOG221358,Function unknown
NOG128843,Function unknown
NOG85514,Function unknown
NOG244343,Function unknown
NOG85511,Function unknown
NOG85512,Transcription
NOG80362,Function unknown
NOG08818,Function unknown
NOG85519,Function unknown
NOG202377,Function unknown
NOG207708,Function unknown
NOG224415,Function unknown
NOG207701,Function unknown
NOG207700,Function unknown
NOG207703,Function unknown
NOG204059,Signal transduction
NOG207705,Function unknown
NOG207704,Function unknown
NOG207707,Function unknown
NOG258982,Function unknown
NOG230373,Function unknown
NOG240988,General functional prediction only
NOG240989,Function unknown
NOG16593,Function unknown
NOG240982,Function unknown
NOG240983,Function unknown
NOG240981,Function unknown
NOG240986,Inorganic ion transport and metabolism
NOG240985,Function unknown
NOG212761,Function unknown
NOG213959,Function unknown
NOG213958,General functional prediction only
NOG213955,Function unknown
NOG213954,Function unknown
NOG213957,Function unknown
NOG213956,General functional prediction only
NOG213951,Function unknown
NOG255186,Intracellular trafficing and secretion
NOG213953,Function unknown
NOG253890,Function unknown
NOG218204,Function unknown
NOG212762,Function unknown
NOG201709,General functional prediction only
NOG201708,Function unknown
NOG201707,Function unknown
NOG201706,"Post-translational modification, protein turnover, chaperone functions"
NOG201705,General functional prediction only
NOG201704,Function unknown
NOG201703,Signal transduction
NOG217250,Function unknown
NOG201701,Signal transduction
NOG06420,Function unknown
NOG77582,General functional prediction only
NOG236772,Function unknown
NOG77580,Lipid metabolism
NOG77587,Function unknown
NOG06425,Function unknown
NOG06426,Function unknown
NOG77584,Cell motility
NOG217256,Function unknown
NOG77589,Function unknown
NOG220655,Function unknown
NOG230371,Function unknown
NOG232276,Function unknown
NOG218201,Function unknown
NOG45882,Function unknown
NOG45880,Function unknown
NOG217254,Function unknown
NOG45885,Function unknown
NOG212768,General functional prediction only
NOG80145,Function unknown
NOG45213,Function unknown
NOG45889,Function unknown
NOG218203,Function unknown
NOG80282,Function unknown
